Adresas,security,floor,total_floor_num,rent_price,room_num,year_full,Papildoma įranga:,Papildomos patalpos:,house_type,area,general,heating,year,year_renovation,floors_from_top,top_floor,district,Internetas,Nauja elektros instaliacija,Kabelinė televizija,Uždaras kiemas,Virtuvė sujungta,Tualetas ir vonia atskirai,Aukštos lubos,Nauja kanalizacija,Šarvuotos durys,Kodinė laiptinės spyna,Signalizacija,Videokameros,Budintis sargas
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-a-smetonos-g-rekonstruotame-name-a-smetonos-g-4-4-947197/,None,4.0,6.0,890,3.0,2017,,,Monolitinis,76.0,None,Centrinis kolektorinis,2017,,2.0,0,naujamiestyje,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-smetonos-g-rekonstruotame-name-a-smetonos-g-4-4-951035/,None,4.0,6.0,890,3.0,2017,,,Monolitinis,76.0,None,Centrinis kolektorinis,2017,,2.0,0,senamiestyje,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdyneliuose-lazdyneliu-g-vilniuje-lazdyneliu-g-isnuomojamas-erdvus-4-952603/,"Šarvuotos durys
Kodinė laiptinės spyna",2.0,4.0,440,2.0,2008,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Plastikiniai vamzdžiai
Indaplovė
Vonia",Balkonas,Mūrinis,68.0,"Aukštos lubos
Nauja kanalizacija
Nauja elektros instaliacija
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2008,,2.0,0,lazdyneliuose,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-m-mazvydo-g-isnuomojamas-kokybiskai-irengtas-2-kambariu-4-949935/,"Šarvuotos durys
Signalizacija
Kodinė laiptinės spyna",1.0,4.0,460,2.0,2007,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Plastikiniai vamzdžiai
Indaplovė
Vonia","Balkonas
Terasa",Mūrinis,56.63,"Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2007,,3.0,0,pilaiteje,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-saviciaus-g-nuomojamas-ka-tik-po-remonto-dar-niekas-4-950363/,None,2.0,3.0,811,3.0,1940,,,Mūrinis,64.0,None,Dujinis,1940,,1.0,0,senamiestyje,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-justiniskese-taikos-g-nuomojamas-tvarkingas-2-kambariu-butas-4-951541/,"Šarvuotos durys
Kodinė laiptinės spyna",4.0,5.0,310,2.0,1985,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Vonia",Balkonas,Blokinis,50.0,"Tualetas ir vonia atskirai
Internetas
Kabelinė televizija",Centrinis,1985,,1.0,0,justiniskese,1.0,,1.0,,,1.0,,,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-gelezinio-vilko-g-isnuomojamas-naujos-statybos-butas-centrineje-4-952641/,"Šarvuotos durys
Kodinė laiptinės spyna",4.0,9.0,380,2.0,2017,"Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Indaplovė
Dušo kabina","Balkonas
Vieta automobiliui",Mūrinis,34.0,"Nauja kanalizacija
Nauja elektros instaliacija
Uždaras kiemas
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2017,,5.0,0,naujamiestyje,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-seskines-g-isnuomojamas-siltas-3-kambariu-pakankamai-4-927359/,"Šarvuotos durys
Signalizacija
Kodinė laiptinės spyna
Videokameros",3.0,16.0,480,3.0,2015,"Kondicionierius
Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Plastikiniai vamzdžiai
Vonia","Sandėliukas
Balkonas
Drabužinė",Mūrinis,63.95,"Nauja kanalizacija
Nauja elektros instaliacija
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2015,,13.0,0,seskineje,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-konstitucijos-pr-butas-centre-tarp-konstitucijos-pr-ir-zalio-4-947381/,None,1.0,2.0,380,2.0,1960,,,Mūrinis,28.0,None,Dujinis,1960,,1.0,0,snipiskese,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-dociskiu-g-isnuomuojamas-vieno-kambario-butas-ir-4-950307/,"Šarvuotos durys
Kodinė laiptinės spyna",5.0,5.0,330,1.0,2010,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Vonia","Balkonas
Vieta automobiliui",Mūrinis,40.0,Virtuvė sujungta su kambariu,Centrinis kolektorinis,2010,,0.0,1,pasilaiciuose,,,,,1.0,,,,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-m-k-ciurlionio-g-isnuomojmas-erdvus-sviesus-jaukus-3-4-946355/,Budintis sargas,4.0,9.0,950,3.0,2012,"Kondicionierius
Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Židinys
Plastikiniai vamzdžiai
Indaplovė
Vonia","Sandėliukas
Balkonas
Terasa
Vieta automobiliui",Mūrinis,80.0,"Tualetas ir vonia atskirai
Nauja kanalizacija
Nauja elektros instaliacija
Uždaras kiemas
Internetas",Centrinis kolektorinis,2012,,5.0,0,naujamiestyje,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-kazio-ulvydo-g-pilnai-irengtas-3-kambariu-butas-ozo-parke-4-950591/,"Šarvuotos durys
Kodinė laiptinės spyna",4.0,5.0,600,3.0,2015,"Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Dušo kabina","Sandėliukas
Balkonas
Vieta automobiliui",Mūrinis,62.0,"Nauja elektros instaliacija
Uždaras kiemas
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2015,,1.0,0,zirmunuose,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vokieciu-g-isnuomojamas-sviesus-jaukus-ir-puikiai-4-951553/,"Šarvuotos durys
Signalizacija
Kodinė laiptinės spyna",5.0,5.0,650,2.0,1957,"Su baldais
Skalbimo mašina
Šaldytuvas
Viryklė
Indaplovė
Dušo kabina",,Mūrinis,53.0,"Aukštos lubos
Virtuvė sujungta su kambariu",Dujinis,1957,,0.0,1,senamiestyje,,,,,1.0,,1.0,,1.0,1.0,1.0,,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-k-donelaicio-g-isskirtiniai-visiskai-nauji-apartamentai-4-951821/,"Signalizacija
Videokameros",2.0,2.0,1100,3.0,2019,"Kondicionierius
Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Indaplovė
Dušo kabina","Terasa
Vieta automobiliui",Mūrinis,68.0,"Atskiras įėjimas
Aukštos lubos
Butas per kelis aukštus
Nauja kanalizacija
Nauja elektros instaliacija
Uždaras kiemas
Kabelinė televizija
Virtuvė sujungta su kambariu","Centrinis kolektorinis, dujinis",2019,,0.0,1,naujamiestyje,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-tauro-g-isnuomojamas-siuolaikiskai-naujai-irengtas-3-4-951753/,"Signalizacija
Kodinė laiptinės spyna",5.0,5.0,800,3.0,1959,"Su baldais
Kondicionierius
Skalbimo mašina",Balkonas,Mūrinis,86.0,"Internetas
Aukštos lubos
Virtuvė sujungta su kambariu
Kabelinė televizija",Centrinis,1959,,0.0,1,senamiestyje,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-tuskulenu-g-isnuomojamas-renovuotame-name-1k-butas-4-946045/,None,1.0,5.0,390,1.0,"1968 statyba, 2017 renovacija","Su baldais
Šaldytuvas
Dušo kabina",,Blokinis,33.0,None,Centrinis kolektorinis,1968,2017.0,4.0,0,zirmunuose,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-3-k-buto-nuoma-antakalnis-v-zalakeviciaus-4-846359/,"Šarvuotos durys
Kodinė laiptinės spyna",5.0,6.0,580,3.0,2015,"Šildomos grindys
Su baldais
Skalbimo mašina
Šaldytuvas
Virtuvės komplektas
Viryklė
Indaplovė
Vonia","Sandėliukas
Vieta automobiliui
Balkonas
Drabužinė",Mūrinis,61.0,"Uždaras kiemas
Nauja kanalizacija
Nauja elektros instaliacija
Virtuvė sujungta su kambariu",Centrinis,2015,,1.0,0,antakalnyje,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-jogailos-g-stilingi-dvieju-kambariu-apartamentai-naujame-4-951811/,"Šarvuotos durys
Signalizacija
Budintis sargas
Videokameros
Kodinė laiptinės spyna",3.0,4.0,1050,2.0,2018,"Su baldais
Kondicionierius
Skalbimo mašina
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Plastikiniai vamzdžiai
Vonia","Balkonas
Vieta automobiliui
Terasa",Mūrinis,59.0,"Internetas
Nauja kanalizacija
Nauja elektros instaliacija
Virtuvė sujungta su kambariu
Kabelinė televizija","Centrinis kolektorinis, centrinis",2018,,1.0,0,senamiestyje,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-giedraiciu-g-viename-labiausiai-auganciu-rajonu-4-951343/,"Šarvuotos durys
Kodinė laiptinės spyna",7.0,9.0,440,1.0,2019,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Indaplovė
Vonia",Balkonas,Mūrinis,34.6,Virtuvė sujungta su kambariu,Centrinis kolektorinis,2019,,2.0,0,snipiskese,,,,,1.0,,,,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-dzuku-g-nuomojamas-pilnai-irengtas-sviesus-bei-4-946813/,"Šarvuotos durys
Signalizacija
Kodinė laiptinės spyna
Videokameros",4.0,6.0,550,2.0,2014,"Kondicionierius
Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Indaplovė
Dušo kabina","Balkonas
Vieta automobiliui
Drabužinė",Mūrinis,60.54,"Nauja kanalizacija
Nauja elektros instaliacija
Uždaras kiemas
Internetas
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2014,,2.0,0,naujininkuose,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-totoriu-g-nuomojamas-butas-paciame-vilniaus-miesto-4-948093/,None,2.0,3.0,450,2.0,1940,,,Mūrinis,42.0,None,Centrinis,1940,,1.0,0,senamiestyje,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-paberzes-g-ieskome-nauju-nuomininku-tik-ilgalaikei-4-951961/,Kodinė laiptinės spyna,2.0,5.0,280,1.0,1982,"Su baldais
Skalbimo mašina",Balkonas,Blokinis,35.19,Tualetas ir vonia atskirai,Centrinis,1982,,3.0,0,seskineje,,,,,,1.0,,,,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojamas-2-ju-kambariu-butas-senamiestyje-4-951413/,"Šarvuotos durys
Kodinė laiptinės spyna",2.0,4.0,449,2.0,1972,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Vonia","Sandėliukas
Balkonas
Drabužinė",Mūrinis,42.0,"Uždaras kiemas
Internetas",Centrinis,1972,,2.0,0,senamiestyje,1.0,,,1.0,,,,,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zveju-g-dear-english-speakers-feel-free-to-call-4-951213/,None,6.0,9.0,700,2.0,2008,,,Monolitinis,66.0,None,Centrinis kolektorinis,2008,,3.0,0,senamiestyje,,,,,,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-fiziku-g-nuomojamas-visiskai-naujas-irengtas-vieno-4-947855/,"Šarvuotos durys
Kodinė laiptinės spyna",2.0,4.0,390,1.0,2019,"Kondicionierius
Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Plastikiniai vamzdžiai
Dušo kabina","Balkonas
Vieta automobiliui",Mūrinis,32.0,"Nauja kanalizacija
Nauja elektros instaliacija
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis kolektorinis,2019,,2.0,0,santariskese,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-daugeliskio-g-isnuomuojamas-naujai-irengtas-butas-puikus-4-947843/,"Šarvuotos durys
Signalizacija
Kodinė laiptinės spyna",9.0,11.0,470,2.0,2016,"Skalbimo mašina
Su baldais
Šaldytuvas
Virtuvės komplektas
Viryklė
Indaplovė
Dušo kabina","Balkonas
Vieta automobiliui
Drabužinė",Mūrinis,50.0,"Aukštos lubos
Nauja kanalizacija
Nauja elektros instaliacija
Uždaras kiemas
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu",Centrinis,2016,,2.0,0,snipiskese,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-fabijoniskiu-g-visiskai-naujas-triju-atskiru-miegamuju-4-942401/,"Šarvuotos durys
Signalizacija
Kodinė laiptinės spyna
Videokameros",3.0,9.0,250,1.0,2017,"Kondicionierius
Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Plastikiniai vamzdžiai
Indaplovė
Dušo kabina","Balkonas
Vieta automobiliui
Drabužinė",Mūrinis,65.0,"Aukštos lubos
Tualetas ir vonia atskirai
Nauja kanalizacija
Nauja elektros instaliacija
Uždaras kiemas
Internetas
Kabelinė televizija
Virtuvė sujungta su kambariu","Centrinis kolektorinis, geoterminis",2017,,6.0,0,fabijoniskese,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vinco-kudirkos-g-isnuomuojamas-erdvus-2-kambariu-butas-paciame-4-947749/,"Šarvuotos durys
Kodinė laiptinės spyna",2.0,3.0,520,2.0,1960,"Kondicionierius
Skalbimo mašina
Su baldais
Šaldytuvas
Šildomos grindys
Virtuvės komplektas
Viryklė
Vonia",Vieta automobiliui,Mūrinis,55.0,"Aukštos lubos
Uždaras kiemas
Internetas
Kabelinė televizija",Centrinis,1960,,1.0,0,senamiestyje,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-gudeliuose-m-mironaites-g-isnuomojamas-jaukus-2-kambariu-butas-gudeliu-4-950851/,None,4.0,6.0,500,2.0,2008,,,Mūrinis,47.0,None,Centrinis kolektorinis,2008,,2.0,0,,,,,,,,,,,,,,
