Adresas,floor,total_floor_num,rent_price,room_num,year_full,house_type,area,heating,year,year_renovation,top_floor,oldtown,district
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-smetonos-g-rekonstruotame-name-a-smetonos-g-4-4-951035/,4.0,6.0,890,3.0,2017,Monolitinis,76.0,Centrinis kolektorinis,2017,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdyneliuose-lazdyneliu-g-vilniuje-lazdyneliu-g-isnuomojamas-erdvus-4-952603/,2.0,4.0,440,2.0,2008,Mūrinis,68.0,Centrinis kolektorinis,2008,,0,0.0,lazdyneliuose
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-saviciaus-g-nuomojamas-ka-tik-po-remonto-dar-niekas-4-950363/,2.0,3.0,811,3.0,1940,Mūrinis,64.0,Dujinis,1940,,0,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-justiniskese-taikos-g-nuomojamas-tvarkingas-2-kambariu-butas-4-951541/,4.0,5.0,310,2.0,1985,Blokinis,50.0,Centrinis,1985,,0,0.0,justiniskese
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-gelezinio-vilko-g-isnuomojamas-naujos-statybos-butas-centrineje-4-952641/,4.0,9.0,380,2.0,2017,Mūrinis,34.0,Centrinis kolektorinis,2017,,0,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-dociskiu-g-isnuomuojamas-vieno-kambario-butas-ir-4-950307/,5.0,5.0,330,1.0,2010,Mūrinis,40.0,Centrinis kolektorinis,2010,,1,0.0,pasilaiciuose
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vokieciu-g-isnuomojamas-sviesus-jaukus-ir-puikiai-4-951553/,5.0,5.0,650,2.0,1957,Mūrinis,53.0,Dujinis,1957,,1,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-k-donelaicio-g-isskirtiniai-visiskai-nauji-apartamentai-4-951821/,2.0,2.0,1100,3.0,2019,Mūrinis,68.0,"Centrinis kolektorinis, dujinis",2019,,1,0.0,naujamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-tauro-g-isnuomojamas-siuolaikiskai-naujai-irengtas-3-4-951753/,5.0,5.0,800,3.0,1959,Mūrinis,86.0,Centrinis,1959,,1,1.0,senamiestyje
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-tuskulenu-g-isnuomojamas-renovuotame-name-1k-butas-4-946045/,1.0,5.0,390,1.0,"1968 statyba, 2017 renovacija",Blokinis,33.0,Centrinis kolektorinis,1968,2017.0,0,0.0,zirmunuose
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-3-k-buto-nuoma-antakalnis-v-zalakeviciaus-4-846359/,5.0,6.0,580,3.0,2015,Mūrinis,61.0,Centrinis,2015,,0,0.0,antakalnyje
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-jogailos-g-stilingi-dvieju-kambariu-apartamentai-naujame-4-951811/,3.0,4.0,1050,2.0,2018,Mūrinis,59.0,"Centrinis kolektorinis, centrinis",2018,,0,1.0,senamiestyje
