Adresas,floor,total_floor_num,Buto numeris:,rent_price,room_num,year,Namo numeris:,Nuoroda,Pastato tipas:,Peržiūrėjo,area,Redaguotas,Įdėtas,Įrengimas:,Šildymas:
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-nepereinami-kambariai-atskira-virtuve-4-846449/,3.0,9.0,,450,2.0,2007.0,,,Mūrinis,,64,,,"Įrengtas                                                NAUDINGA:
Idėjos, kaip įsirengti interjerą",Centrinis kolektorinis
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-pienines-g-pilnai-irengtas-naujas-butas-nuomai-viskas-4-890313/,4.0,4.0,,699,2.0,2019.0,10,,Mūrinis,,"41,47",,,,"Centrinis, elektra"
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-bazilijonu-g-nuomojamas-kokybiskai-irengtas-jaukus-butas-4-935157/,3.0,3.0,,800,3.0,1940.0,,,Mūrinis,,71,,,"Įrengtas                                                NAUDINGA:
Idėjos, kaip įsirengti interjerą",Dujinis
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-kestucio-g-su-baldais-skalbimo-masina-saldytuvas-4-935189/,2.0,3.0,,400,2.0,1969.0,,,Mūrinis,,"41,84",,,"Įrengtas                                                NAUDINGA:
Idėjos, kaip įsirengti interjerą",Centrinis
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdyneliuose-lazdyneliu-g-nuomojamas-erdvus-1-kambario-butas-su-jam-4-936435/,2.0,5.0,,390,1.0,2008.0,,,Mūrinis,,36,,,"Įrengtas                                                NAUDINGA:
Idėjos, kaip įsirengti interjerą",Centrinis kolektorinis
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-neuzmirstuoliu-g-erdvus-triju-kambariu-butas-lazdynuose-4-936109/,2.0,5.0,,700,3.0,1998.0,,,Mūrinis,,119,,,"Įrengtas                                                NAUDINGA:
Idėjos, kaip įsirengti interjerą",Centrinis kolektorinis
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-giruliu-g-nuomojamas-naujas-stilingai-irengtas-2-4-933143/,5.0,9.0,,400,2.0,2012.0,,,Mūrinis,,58,,,"Įrengtas                                                NAUDINGA:
Idėjos, kaip įsirengti interjerą",Centrinis
https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-laisves-pr-nuomojamas-jaukus-dvieju-kambariu-butas-4-936369/,5.0,5.0,,350,2.0,1980.0,,,Mūrinis,,47,,,"Įrengtas                                                NAUDINGA:
Idėjos, kaip įsirengti interjerą",Centrinis
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-kauno-g-isnuomojamas-55-kvm-naujai-stilingai-4-932515/,2.0,4.0,,570,2.0,1960.0,8,,Mūrinis,,55,,,,Centrinis
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-vytauto-zalakeviciaus-g-kokybiskomis-medziagomis-irengtas-dizaineres-4-924307/,2.0,6.0,,550,2.0,2016.0,19,,Mūrinis,,"43,38",,,,Centrinis kolektorinis
